model,roc_auc_mean,roc_auc_std,acc_mean,acc_std
GradientBoosting,0.883255186724942,0.016789447518259094,0.841723683384596,0.01945161558328006
RandomForest,0.8752284476904952,0.028898445723957798,0.8215177954930638,0.020141251981540056
LogisticRegression,0.869058058114641,0.025011248747572466,0.8204067541271736,0.013053323367967077
KNN,0.8624819702693423,0.02542212262307481,0.8170296905404557,0.027825574564217814
SVM (linear),0.8508045547333776,0.008282309928069982,0.822666499278137,0.018705725066781195
DecisionTree,0.7929449537729295,0.015685540028783973,0.7990709936601595,0.02568178581253442
